week	DUFlood1	DUFlood2	DUFlood3	DUFlood4	DUFlood5
1	1423400	1423400	1423400	1423400	1423400
2	1423400	1423400	1423400	1423400	1423400
3	1423400	1423400	1423400	1423400	1423400
4	1423400	1423400	1423400	1423400	1423400
5	1423400	1423400	1423400	1423400	1423400
6	1423400	1423400	1423400	1423400	1423400
7	1423400	1423400	1423400	1423400	1423400
8	1423400	1423400	1423400	1423400	1423400
9	1423400	1423400	1423400	1423400	1423400
10	1423400	1423400	1423400	1423400	1423400
11	1423400	1423400	1423400	1423400	1423400
12	1423400	1423400	1423400	1423400	1423400
13	1423400	1423400	1423400	1423400	1423400
14	1423400	1423400	1423400	1423400	1423400
15	1423400	1423400	1423400	1423400	1423400
16	1423400	1423400	1423400	1423400	1423400
17	1423400	1423400	1423400	1423400	1423400
18	1423400	1423400	1423400	1423400	1423400
19	1323400	1323400	1323400	1323400	1323400
20	1223400	1223400	1223400	1223400	1223400
21	1123400	1123400	1123400	1123400	1123400
22	1023400	1023400	1023400	1023400	1023400
23	996400	976400	956400	936400	928700
24	969400	929400	889400	849400	834000
25	942400	882400	822400	762400	739300
26	915400	835400	755400	675400	644600
27	888400	788400	688400	588400	549900
28	854650	729650	604650	479650	431525
29	820900	670900	520900	370900	313150
30	787150	612150	437150	262150	194775
31	753400	553400	353400	153400	76400
32	753400	553400	353400	153400	76400
33	753400	553400	353400	153400	76400
34	753400	553400	353400	153400	76400
35	753400	553400	353400	153400	76400
36	753400	553400	353400	153400	76400
37	753400	553400	353400	153400	76400
38	753400	553400	353400	153400	76400
39	753400	553400	353400	153400	76400
40	920900	770900	620900	470900	413150
41	1088400	988400	888400	788400	749900
42	1255900	1205900	1155900	1105900	1086650
43	1423400	1423400	1423400	1423400	1423400
44	1423400	1423400	1423400	1423400	1423400
45	1423400	1423400	1423400	1423400	1423400
46	1423400	1423400	1423400	1423400	1423400
47	1423400	1423400	1423400	1423400	1423400
48	1423400	1423400	1423400	1423400	1423400
49	1423400	1423400	1423400	1423400	1423400
50	1423400	1423400	1423400	1423400	1423400
51	1423400	1423400	1423400	1423400	1423400
52	1423400	1423400	1423400	1423400	1423400
