Week	ARFlood1	ARFlood2	ARFlood3	ARFlood4	ARFlood5	ARFlood6
1	7327300	7327300	7327300	7327300	7327300	7327300
2	7327300	7327300	7327300	7327300	7327300	7327300
3	7327300	7327300	7327300	7327300	7327300	7327300
4	7327300	7327300	7327300	7327300	7327300	7327300
5	7327300	7327300	7327300	7327300	7327300	7327300
6	7327300	7327300	7327300	7327300	7327300	7327300
7	7327300	7327300	7327300	7327300	7327300	7327300
8	7327300	7327300	7327300	7327300	7327300	7327300
9	7327300	7327300	7327300	7327300	7327300	7327300
10	7277300	7277300	7277300	7277300	7277300	7277300
11	7227300	7227300	7227300	7227300	7227300	7227300
12	7177300	7177300	7177300	7177300	7177300	7177300
13	7127300	7127300	7127300	7127300	7127300	7127300
14	7077300	7077300	7077300	7077300	7077300	7077300
15	7077300	7077300	7077300	7077300	7077300	7077300
16	7077300	7077300	7077300	7077300	7077300	7077300
17	7077300	7077300	7077300	7077300	7077300	7077300
18	7077300	7077300	7077300	7077300	7077300	7077300
19	6964800	6964800	6964800	6964800	6964800	6889800
20	6852300	6852300	6852300	6852300	6852300	6702300
21	6739800	6739800	6739800	6739800	6739800	6514800
22	6627300	6627300	6627300	6627300	6627300	6327300
23	6627300	6611915	6542685	6465762	6404223	6047300
24	6627300	6596531	6458069	6304223	6181146	5767300
25	6627300	6581146	6373454	6142685	5958069	5487300
26	6627300	6565762	6288838	5981146	5734992	5207300
27	6627300	6550377	6204223	5819608	5511915	4927300
28	6627300	6534992	6119608	5658069	5288838	4177300
29	6627300	6519608	6034992	5496531	5065762	3427300
30	6627300	6504223	5950377	5334992	4842685	2677300
31	6627300	6488838	5865762	5173454	4619608	1927300
32	6627300	6473454	5781146	5011915	4396531	1502300
33	6627300	6458069	5696531	4850377	4173454	1077300
34	6627300	6442685	5611915	4688838	3950377	652300
35	6627300	6427300	5527300	4527300	3727300	227300
36	7327300	7327300	7327300	7327300	7327300	7327300
37	7327300	7327300	7327300	7327300	7327300	7327300
38	7327300	7327300	7327300	7327300	7327300	7327300
39	7327300	7327300	7327300	7327300	7327300	7327300
40	7327300	7327300	7327300	7327300	7327300	7327300
41	7327300	7327300	7327300	7327300	7327300	7327300
42	7327300	7327300	7327300	7327300	7327300	7327300
43	7327300	7327300	7327300	7327300	7327300	7327300
44	7327300	7327300	7327300	7327300	7327300	7327300
45	7327300	7327300	7327300	7327300	7327300	7327300
46	7327300	7327300	7327300	7327300	7327300	7327300
47	7327300	7327300	7327300	7327300	7327300	7327300
48	7327300	7327300	7327300	7327300	7327300	7327300
49	7327300	7327300	7327300	7327300	7327300	7327300
50	7327300	7327300	7327300	7327300	7327300	7327300
51	7327300	7327300	7327300	7327300	7327300	7327300
52	7327300	7327300	7327300	7327300	7327300	7327300
