DWFlood1	DWFlood2	DWFlood3	DWFlood4	DWFlood5	DWFlood6	DWFlood7	DWFlood8	DWFlood9	DWFlood10
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3328000	3328000	3328000	3328000	3328000	3328000	3328000	3328000	3328000	3328000
3188000	3188000	3188000	3188000	3188000	3188000	3188000	3188000	3188000	3188000
3048000	3048000	3048000	3048000	3048000	3048000	3048000	3048000	3048000	3048000
2908000	2908000	2908000	2908000	2908000	2908000	2908000	2908000	2908000	2908000
2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000
2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000
2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000
2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000
2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000
2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000
2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000
2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000
2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000	2768000
2804000	2793000	2770000	2743000	2713000	2686000	2678000	2678000	2678000	2678000
2840000	2818000	2772000	2718000	2658000	2604000	2588000	2588000	2588000	2588000
2876000	2843000	2774000	2693000	2603000	2522000	2498000	2498000	2498000	2498000
2912000	2868000	2776000	2668000	2548000	2440000	2408000	2408000	2408000	2408000
2948000	2893000	2778000	2643000	2493000	2358000	2318000	2318000	2318000	2318000
3003000	2939250	2800500	2634250	2456750	2291750	2230500	2213000	2213000	2213000
3058000	2985500	2823000	2625500	2420500	2225500	2143000	2108000	2108000	2108000
3113000	3031750	2845500	2616750	2384250	2159250	2055500	2003000	2003000	2003000
3168000	3078000	2868000	2608000	2348000	2093000	1968000	1898000	1898000	1898000
3243000	3148000	2928000	2654250	2363000	2086750	1949250	1859250	1813000	1790500
3318000	3218000	2988000	2700500	2378000	2080500	1930500	1820500	1728000	1683000
3393000	3288000	3048000	2746750	2393000	2074250	1911750	1781750	1643000	1575500
3468000	3358000	3108000	2793000	2408000	2068000	1893000	1743000	1558000	1468000
3468000	3413000	3188000	2880500	2475500	2105500	1930500	1755500	1575500	1468000
3468000	3468000	3268000	2968000	2543000	2143000	1968000	1768000	1593000	1468000
3468000	3468000	3296571	3039429	2675143	2332286	2182286	2010857	1860857	1753714
3468000	3468000	3325143	3110857	2807286	2521571	2396571	2253714	2128714	2039429
3468000	3468000	3353714	3182286	2939429	2710857	2610857	2496571	2396571	2325143
3468000	3468000	3382286	3253714	3071571	2900143	2825143	2739429	2664429	2610857
3468000	3468000	3410857	3325143	3203714	3089429	3039429	2982286	2932286	2896571
3468000	3468000	3439429	3396571	3335857	3278714	3253714	3225143	3200143	3182286
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000	3468000
